BuyingPrice,MaintenancePrice,Doors,PersonsCapacity,LuggageBoot,Safety,CarEvaluation
vhigh,vhigh,2,2,small,low,unacceptable
vhigh,vhigh,2,2,small,medium,unacceptable
vhigh,vhigh,2,2,small,high,unacceptable
vhigh,vhigh,2,2,medium,low,unacceptable
vhigh,vhigh,2,2,medium,medium,unacceptable
vhigh,vhigh,2,2,medium,high,unacceptable
vhigh,vhigh,2,2,big,low,unacceptable
vhigh,vhigh,2,2,big,medium,unacceptable
vhigh,vhigh,2,2,big,high,unacceptable
vhigh,vhigh,2,4,small,low,unacceptable
vhigh,vhigh,2,4,small,medium,unacceptable
vhigh,vhigh,2,4,small,high,unacceptable
vhigh,vhigh,2,4,medium,low,unacceptable
vhigh,vhigh,2,4,medium,medium,unacceptable
vhigh,vhigh,2,4,medium,high,unacceptable
vhigh,vhigh,2,4,big,low,unacceptable
vhigh,vhigh,2,4,big,medium,unacceptable
vhigh,vhigh,2,4,big,high,unacceptable
vhigh,vhigh,2,more,small,low,unacceptable
vhigh,vhigh,2,more,small,medium,unacceptable
vhigh,vhigh,2,more,small,high,unacceptable
vhigh,vhigh,2,more,medium,low,unacceptable
vhigh,vhigh,2,more,medium,medium,unacceptable
vhigh,vhigh,2,more,medium,high,unacceptable
vhigh,vhigh,2,more,big,low,unacceptable
vhigh,vhigh,2,more,big,medium,unacceptable
vhigh,vhigh,2,more,big,high,unacceptable
vhigh,vhigh,3,2,small,low,unacceptable
vhigh,vhigh,3,2,small,medium,unacceptable
vhigh,vhigh,3,2,small,high,unacceptable
vhigh,vhigh,3,2,medium,low,unacceptable
vhigh,vhigh,3,2,medium,medium,unacceptable
vhigh,vhigh,3,2,medium,high,unacceptable
vhigh,vhigh,3,2,big,low,unacceptable
vhigh,vhigh,3,2,big,medium,unacceptable
vhigh,vhigh,3,2,big,high,unacceptable
vhigh,vhigh,3,4,small,low,unacceptable
vhigh,vhigh,3,4,small,medium,unacceptable
vhigh,vhigh,3,4,small,high,unacceptable
vhigh,vhigh,3,4,medium,low,unacceptable
vhigh,vhigh,3,4,medium,medium,unacceptable
vhigh,vhigh,3,4,medium,high,unacceptable
vhigh,vhigh,3,4,big,low,unacceptable
vhigh,vhigh,3,4,big,medium,unacceptable
vhigh,vhigh,3,4,big,high,unacceptable
vhigh,vhigh,3,more,small,low,unacceptable
vhigh,vhigh,3,more,small,medium,unacceptable
vhigh,vhigh,3,more,small,high,unacceptable
vhigh,vhigh,3,more,medium,low,unacceptable
vhigh,vhigh,3,more,medium,medium,unacceptable
vhigh,vhigh,3,more,medium,high,unacceptable
vhigh,vhigh,3,more,big,low,unacceptable
vhigh,vhigh,3,more,big,medium,unacceptable
vhigh,vhigh,3,more,big,high,unacceptable
vhigh,vhigh,4,2,small,low,unacceptable
vhigh,vhigh,4,2,small,medium,unacceptable
vhigh,vhigh,4,2,small,high,unacceptable
vhigh,vhigh,4,2,medium,low,unacceptable
vhigh,vhigh,4,2,medium,medium,unacceptable
vhigh,vhigh,4,2,medium,high,unacceptable
vhigh,vhigh,4,2,big,low,unacceptable
vhigh,vhigh,4,2,big,medium,unacceptable
vhigh,vhigh,4,2,big,high,unacceptable
vhigh,vhigh,4,4,small,low,unacceptable
vhigh,vhigh,4,4,small,medium,unacceptable
vhigh,vhigh,4,4,small,high,unacceptable
vhigh,vhigh,4,4,medium,low,unacceptable
vhigh,vhigh,4,4,medium,medium,unacceptable
vhigh,vhigh,4,4,medium,high,unacceptable
vhigh,vhigh,4,4,big,low,unacceptable
vhigh,vhigh,4,4,big,medium,unacceptable
vhigh,vhigh,4,4,big,high,unacceptable
vhigh,vhigh,4,more,small,low,unacceptable
vhigh,vhigh,4,more,small,medium,unacceptable
vhigh,vhigh,4,more,small,high,unacceptable
vhigh,vhigh,4,more,medium,low,unacceptable
vhigh,vhigh,4,more,medium,medium,unacceptable
vhigh,vhigh,4,more,medium,high,unacceptable
vhigh,vhigh,4,more,big,low,unacceptable
vhigh,vhigh,4,more,big,medium,unacceptable
vhigh,vhigh,4,more,big,high,unacceptable
vhigh,vhigh,5more,2,small,low,unacceptable
vhigh,vhigh,5more,2,small,medium,unacceptable
vhigh,vhigh,5more,2,small,high,unacceptable
vhigh,vhigh,5more,2,medium,low,unacceptable
vhigh,vhigh,5more,2,medium,medium,unacceptable
vhigh,vhigh,5more,2,medium,high,unacceptable
vhigh,vhigh,5more,2,big,low,unacceptable
vhigh,vhigh,5more,2,big,medium,unacceptable
vhigh,vhigh,5more,2,big,high,unacceptable
vhigh,vhigh,5more,4,small,low,unacceptable
vhigh,vhigh,5more,4,small,medium,unacceptable
vhigh,vhigh,5more,4,small,high,unacceptable
vhigh,vhigh,5more,4,medium,low,unacceptable
vhigh,vhigh,5more,4,medium,medium,unacceptable
vhigh,vhigh,5more,4,medium,high,unacceptable
vhigh,vhigh,5more,4,big,low,unacceptable
vhigh,vhigh,5more,4,big,medium,unacceptable
vhigh,vhigh,5more,4,big,high,unacceptable
vhigh,vhigh,5more,more,small,low,unacceptable
vhigh,vhigh,5more,more,small,medium,unacceptable
vhigh,vhigh,5more,more,small,high,unacceptable
vhigh,vhigh,5more,more,medium,low,unacceptable
vhigh,vhigh,5more,more,medium,medium,unacceptable
vhigh,vhigh,5more,more,medium,high,unacceptable
vhigh,vhigh,5more,more,big,low,unacceptable
vhigh,vhigh,5more,more,big,medium,unacceptable
vhigh,vhigh,5more,more,big,high,unacceptable
vhigh,high,2,2,small,low,unacceptable
vhigh,high,2,2,small,medium,unacceptable
vhigh,high,2,2,small,high,unacceptable
vhigh,high,2,2,medium,low,unacceptable
vhigh,high,2,2,medium,medium,unacceptable
